Scheme Name,Net Asset Value,
,,
,,
,,
Axis Ultra Short Term Fund - Direct Plan - Daily IDCW,10.0338,
Axis Ultra Short Term Fund - Direct Plan - Monthly IDCW,10.0637,
Axis Ultra Short Term Fund - Direct Plan - Regular IDCW,13.1426,
Axis Ultra Short Term Fund - Direct Plan - Weekly IDCW,10.0563,
Axis Ultra Short Term Fund - Direct Plan Growth,13.1389,
Axis Ultra Short Term Fund - Regular Plan - Daily IDCW,10.0689,
Axis Ultra Short Term Fund - Regular Plan - Monthly IDCW,10.0613,
Axis Ultra Short Term Fund - Regular Plan - Regular IDCW,12.6232,
Axis Ultra Short Term Fund - Regular Plan - Weekly IDCW,10.0725,
Axis Ultra Short Term Fund - Regular Plan Growth,12.6233,
,,
,,
,,
BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN -MONTHLY IDCW,10.0718,
BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN GROWTH,13.0296,
BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN PERIODIC IDCW,11.0415,
BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN QUARTERLY IDCW,10.3272,
BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN- WEEKLY IDCW,10.086,
BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN-DAILY IDCW,10.0367,
BANDHAN ULTRA SHORT TERM FUND - REGULAR PLAN DAILY IDCW,10.0519,
BANDHAN ULTRA SHORT TERM FUND - REGULAR PLAN GROWTH,12.9273,
BANDHAN ULTRA SHORT TERM FUND - REGULAR PLAN MONTHLY IDCW,10.0766,
BANDHAN ULTRA SHORT TERM FUND - REGULAR PLAN PERIODIC IDCW,10.8733,
BANDHAN ULTRA SHORT TERM FUND - REGULAR PLAN QUARTERLY IDCW,10.3153,
BANDHAN ULTRA SHORT TERM FUND - REGULAR PLAN WEEKLY IDCW,10.0874,
,,
,,
,,
BANK OF INDIA Ultra Short Duration Fund- Direct Plan- Daily IDCW,1011.928,
BANK OF INDIA Ultra Short Duration Fund- Direct Plan- Growth,2792.5878,
BANK OF INDIA Ultra Short Duration Fund- Direct Plan- Weekly IDCW,1007.5487,
BANK OF INDIA Ultra Short Duration Fund- Direct Plan-Bonus,2779.3183,
BANK OF INDIA Ultra Short Duration Fund- Regular Plan- Daily IDCW,1007.4498,
BANK OF INDIA Ultra Short Duration Fund- Regular Plan- Growth,2727.5079,
BANK OF INDIA Ultra Short Duration Fund- Regular Plan- Weekly IDCW,1008.0167,
,,
,,
,,
Baroda BNP Paribas Ultra Short Duratio Fund- Regular Plan- Weekly IDCW,1000.3393,
Baroda BNP Paribas Ultra Short Duration Fund - Regular Plan - Daily IDCW,1006.2583,
Baroda BNP Paribas Ultra Short Duration Fund - Regular Plan - Growth,1307.0998,
Baroda BNP Paribas Ultra Short Duration Fund- Direct Plan- Daily IDCW,1007.0751,
Baroda BNP Paribas Ultra Short Duration Fund- Direct Plan- Growth,1318.429,
Baroda BNP Paribas Ultra Short Duration Fund- Direct Plan- Weekly IDCW,1000,
,,
,,
,,
CANARA ROBECO ULTRA SHORT TERM FUND - DIRECT PLAN - DAILY IDCW (Reinvestment),1240.71,
CANARA ROBECO ULTRA SHORT TERM FUND - DIRECT PLAN - GROWTH OPTION,3432.4769,
CANARA ROBECO ULTRA SHORT TERM FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),1964.7212,
CANARA ROBECO ULTRA SHORT TERM FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment),1004.1734,
CANARA ROBECO ULTRA SHORT TERM FUND - DIRECT PLAN - WEEKLY IDCW (Payout/Reinvestment),1241.0635,
CANARA ROBECO ULTRA SHORT TERM FUND - REGULAR PLAN - DAILY IDCW (Reinvestment),1240.71,
CANARA ROBECO ULTRA SHORT TERM FUND - REGULAR PLAN - GROWTH OPTION,3267.7806,
CANARA ROBECO ULTRA SHORT TERM FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),1003.8225,
CANARA ROBECO ULTRA SHORT TERM FUND - REGULAR PLAN - WEEKLY IDCW (Payout/Reinvestment),1241.0267,
CANARA ROBECO ULTRA SHORT TERM FUND- REGULAR PLAN - IDCW (Payout),1342.4588,
,,
,,
,,
DSP Ultra Short Fund - Direct Plan - Growth,3115.6884,
DSP Ultra Short Fund - Direct Plan - IDCW,1120.6853,
DSP Ultra Short Fund - Direct Plan - IDCW - Daily,1005.3951,
DSP Ultra Short Fund - Direct Plan - IDCW - Monthly,1070.2007,
DSP Ultra Short Fund - Direct Plan - IDCW - Weekly,1005.1877,
DSP Ultra Short Fund - Regular Plan - Growth,2913.2786,
DSP Ultra Short Fund - Regular Plan - IDCW - Daily Reinvest,1005.4914,
DSP Ultra Short Fund - Regular Plan - IDCW - Monthly,1063.7608,
DSP Ultra Short Fund - Regular Plan - IDCW - Payout,1109.6678,
DSP Ultra Short Fund - Regular Plan - IDCW - Weekly Reinvest,1005.1672,
,,
,,
,,
Franklin India Ultra Short Bond Fund - Institutional - Growth,33.7757,
Franklin India Ultra Short Bond Fund - Institutional - Weekly Dividend,0,
Franklin India Ultra Short Bond Fund - Institutional Plan - Daily - IDCW,12.37,
Franklin India Ultra Short Bond Fund - Retail - Growth,32.9262,
Franklin India Ultra Short Bond Fund - Retail Plan - Daily - IDCW,12.4137,
Franklin India Ultra Short Bond Fund - Retail Plan - Weekly - IDCW,12.5163,
Franklin India Ultra Short Bond Fund - Super Institutional - Growth,34.9131,
Franklin India Ultra Short Bond Fund - Super Institutional Plan - Daily - IDCW,12.4788,
Franklin India Ultra Short Bond Fund - Super Institutional Plan - Direct - Growth,34.2355,
Franklin India Ultra Short Bond Fund - Super Institutional Plan - Weekly - IDCW,12.5111,
Franklin India Ultra Short Bond Fund Super Institutional Plan - Direct - Daily - IDCW,12.1512,
Franklin India Ultra Short Bond Fund Super Institutional Plan - Direct - Weekly - IDCW,12.196,
Franklin India Ultra Short Bond Fund- Institutional Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Daily Dividend Option,0,
Franklin India Ultra Short Bond Fund- Institutional Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Option,0,
Franklin India Ultra Short Bond Fund- Retail Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Daily Dividend Option,0,
Franklin India Ultra Short Bond Fund- Retail Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Option,0,
Franklin India Ultra Short Bond Fund- Retail Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Weekly Dividend Option,0,
Franklin India Ultra Short Bond Fund- Super Institutional Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Daily Dividend Option,0,
Franklin India Ultra Short Bond Fund- Super Institutional Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct Daily Dividend Option,0,
Franklin India Ultra Short Bond Fund- Super Institutional Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Growth Option,0,
Franklin India Ultra Short Bond Fund- Super Institutional Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Weekly Dividend Option,0,
Franklin India Ultra Short Bond Fund- Super Institutional Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Option,0,
Franklin India Ultra Short Bond Fund- Super Institutional Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Weekly Dividend Option,0,
,,
,,
,,
HDFC Ultra Short Term Fund - Daily IDCW Option,10.103,
HDFC Ultra Short Term Fund - Direct Plan-Daily IDCW Option,10.092,
HDFC Ultra Short Term Fund - Direct Plan-Growth Option,13.054,
HDFC Ultra Short Term Fund - Direct Plan-Monthly IDCW Option,10.0875,
HDFC Ultra Short Term Fund - Direct Plan-Weekly IDCW Option,10.0563,
HDFC Ultra Short Term Fund - Growth Option,12.8726,
HDFC Ultra Short Term Fund - Monthly IDCW Option,10.1861,
HDFC Ultra Short Term Fund - Weekly IDCW Option,10.0559,
,,
,,
,,
HSBC Ultra Short Duration Fund - Direct Daily IDCW,1079.9409,
HSBC Ultra Short Duration Fund - Direct Growth,1159.3704,
HSBC Ultra Short Duration Fund - Direct Monthly IDCW,1015.1434,
HSBC Ultra Short Duration Fund - Direct Weekly IDCW,1007.6086,
HSBC Ultra Short Duration Fund - Regular Daily IDCW,1031.7278,
HSBC Ultra Short Duration Fund - Regular Growth,1149.992,
HSBC Ultra Short Duration Fund - Regular Monthly IDCW,1030.6704,
HSBC Ultra Short Duration Fund - Regular Weekly IDCW,1041.6948,
,,
,,
,,
ICICI Prudential Ultra Short Term Fund - Daily IDCW,10.0495,
ICICI Prudential Ultra Short Term Fund - Direct Plan -  Growth,25.1993,
ICICI Prudential Ultra Short Term Fund - Direct Plan -  Half Yearly IDCW,10.7542,
ICICI Prudential Ultra Short Term Fund - Direct Plan -  Monthly IDCW,10.8153,
ICICI Prudential Ultra Short Term Fund - Direct Plan -  Quarterly IDCW,11.1282,
ICICI Prudential Ultra Short Term Fund - Direct Plan - Daily IDCW,10.006,
ICICI Prudential Ultra Short Term Fund - Direct Plan - Fortnightly IDCW,10.0879,
ICICI Prudential Ultra Short Term Fund - Direct Plan - Weekly IDCW,10.0902,
ICICI Prudential Ultra Short Term Fund - Direct Plan Bonus,16.0996,
ICICI Prudential Ultra Short Term Fund - Fortnightly IDCW,10.0649,
ICICI Prudential Ultra Short Term Fund - Growth,23.5213,
ICICI Prudential Ultra Short Term Fund - Half Yearly IDCW,10.6114,
ICICI Prudential Ultra Short Term Fund - Monthly IDCW,10.6834,
ICICI Prudential Ultra Short Term Fund - Quarterly IDCW,10.9201,
ICICI Prudential Ultra Short Term Fund - Weekly IDCW,10.0738,
,,
,,
,,
IDBI UST Bonus Direct,2343.8343,
IDBI UST Bonus Regular,2364.8573,
IDBI UST Daily IDCW,1017.0054,
IDBI UST Daily IDCW Direct,1031.1905,
IDBI UST Growth,2364.7103,
IDBI UST Growth Direct,2487.2377,
IDBI UST Monthly IDCW,1121.009,
IDBI UST Monthly IDCW Direct,1456.3735,
IDBI UST Weekly IDCW,1097.5319,
IDBI UST Weekly IDCW Direct,1101.683,
,,
,,
,,
Invesco India Ultra Short Term Fund - Annual IDCW (Payout / Reinvestment),1060.2829,
Invesco India Ultra Short Term Fund - Daily IDCW (Reinvestment),1212.4945,
Invesco India Ultra Short Term Fund - Direct Plan - Annual IDCW (Payout / Reinvestment),1728.0694,
Invesco India Ultra Short Term Fund - Direct Plan - Daily IDCW (Reinvestment),1230.1302,
Invesco India Ultra Short Term Fund - Direct Plan - Growth,2426.9065,
Invesco India Ultra Short Term Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1644.4637,
Invesco India Ultra Short Term Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment),1025.9894,
Invesco India Ultra Short Term Fund - Growth,2296.5106,
Invesco India Ultra Short Term Fund - Monthly IDCW (Payout / Reinvestment),1014.3012,
Invesco India Ultra Short Term Fund - Quarterly IDCW (Payout / Reinvestment),1174.8922,
,,
,,
,,
ITI Ultra Short Duration Fund - Direct Plan - Annually IDCW Option,1085.8191,
ITI Ultra Short Duration Fund - Direct Plan - Daily IDCW,1001,
ITI Ultra Short Duration Fund - Direct Plan - Fortnightly IDCW Option,1001.7667,
ITI Ultra Short Duration Fund - Direct Plan - Growth Option,1085.0208,
ITI Ultra Short Duration Fund - Direct Plan - Monthly IDCW Option,1004.4894,
ITI Ultra Short Duration Fund - Direct Plan - Weekly IDCW Option,1001.5113,
ITI Ultra Short Duration Fund - Regular Plan - Annually IDCW Option,1067.9271,
ITI Ultra Short Duration Fund - Regular Plan - Daily IDCW Option,1001,
ITI Ultra Short Duration Fund - Regular Plan - Fortnightly IDCW Option,1001.6747,
ITI Ultra Short Duration Fund - Regular Plan - Growth Option,1067.9094,
ITI Ultra Short Duration Fund - Regular Plan - Monthly IDCW Option,1004.0977,
ITI Ultra Short Duration Fund - Regular Plan - Weekly IDCW Option,1001.4432,
,,
,,
,,
JM Ultra Short Duration Fund (Direct) - Bonus Option - Principal Units,27.8437,
JM Ultra Short Duration Fund (Direct) - Fortnightly Dividend Option,10.5165,
JM Ultra Short Duration Fund - (Direct) - Growth Option,27.5938,
JM Ultra Short Duration Fund - (Direct) -Daily Dividend Option,10.3437,
JM Ultra Short Duration Fund - (Direct) -Weekly Dividend Option,10.8856,
JM Ultra Short Duration Fund - Bonus Option - Principal Units,26.95,
JM Ultra Short Duration Fund - Daily Dividend,10.2477,
JM Ultra Short Duration Fund - Fortnightly Dividend,10.4216,
JM Ultra Short Duration Fund - Growth option,26.7195,
JM Ultra Short Duration Fund - Weekly Dividend,10.8027,
,,
,,
,,
Kotak Savings Fund -Growth,36.5631,
Kotak Savings Fund -Monthly Payout of Income Distribution cum capital withdrawal option,10.718,
Kotak Savings Fund-Growth - Direct,37.9156,
Kotak Savings Fund-Monthly Payout of Income Distribution cum capital withdrawal option - Direct,16.3634,
Kotak Treasury Advantage Fund -Daily Reinvestment of Income Distribution cum capital withdrawal option,10.0798,
Kotak Treasury Advantage Fund -Daily Reinvestment of Income Distribution cum capital withdrawal option - Direct,10.8186,
,,
,,
,,
LIC MF Ultra Short Term Fund-Direct Plan-Daily IDCW,1000.2706,
LIC MF Ultra Short Term Fund-Direct Plan-Growth,1149.0321,
LIC MF Ultra Short Term Fund-Direct Plan-Monthly IDCW,1149.1088,
LIC MF Ultra Short Term Fund-Direct Plan-Weekly IDCW,1076.954,
LIC MF Ultra Short Term Fund-Regular Plan-Daily IDCW,1070.3151,
LIC MF Ultra Short Term Fund-Regular Plan-Growth,1140.4729,
LIC MF Ultra Short Term Fund-Regular Plan-Monthly IDCW,1140.5035,
LIC MF Ultra Short Term Fund-Regular Plan-Weekly IDCW,1030.7816,
,,
,,
,,
Mahindra Manulife Ultra Short Duration Fund - Direct Plan - Daily IDCW,1062.0366,
Mahindra Manulife Ultra Short Duration Fund - Direct Plan - Weekly IDCW,1001.6775,
Mahindra Manulife Ultra Short Duration Fund - Direct Plan -Growth,1188.5035,
Mahindra Manulife Ultra Short Duration Fund - Regular Plan - Daily IDCW,1038.7036,
Mahindra Manulife Ultra Short Duration Fund - Regular Plan - Growth,1171.5579,
Mahindra Manulife Ultra Short Duration Fund - Regular Plan - Weekly IDCW,1001.6215,
,,
,,
,,
Mirae Asset Ultra Short Duration Fund Direct Growth,1112.3983,
Mirae Asset Ultra Short Duration Fund Direct IDCW,1112.5068,
Mirae Asset Ultra Short Duration Fund Regular Growth,1106.5862,
Mirae Asset Ultra Short Duration Fund Regular IDCW,1106.1818,
,,
,,
,,
Motilal Oswal Ultra Short Term Fund (MOFUSTF) -Direct Plan- Growth,15.0366,
Motilal Oswal Ultra Short Term Fund (MOFUSTF)-Regular Plan- Growth,14.4232,
Motilal Oswal Ultra Short Term Fund Direct - IDCW Daily Reinvestment,10.6119,
Motilal Oswal Ultra Short Term Fund Direct - IDCW Fortnightly Reinvestment,10.6393,
Motilal Oswal Ultra Short Term Fund Direct - IDCW Quarterly Payout/Reinvestment,10.7732,
Motilal Oswal Ultra Short Term Fund Direct - IDCW Weekly Reinvestment,10.6244,
Motilal Oswal Ultra Short Term Fund Direct Plan - IDCW Monthly Payout/Reinvestment,10.6192,
Motilal Oswal Ultra Short Term Fund Regular - IDCW Daily Reinvestment,10.4721,
Motilal Oswal Ultra Short Term Fund Regular - IDCW Fortnightly Reinvestment,10.4864,
Motilal Oswal Ultra Short Term Fund Regular - IDCW Monthly Payout/Reinvestment,10.4739,
Motilal Oswal Ultra Short Term Fund Regular - IDCW Quarterly Payout/Reinvestment,10.6249,
Motilal Oswal Ultra Short Term Fund Regular - IDCW Weekly Reinvestment,10.4772,
,,
,,
,,
NIPPON INDIA ULTRA SHORT DURATION FUND - DAILY IDCW OPTION,1114.15,
NIPPON INDIA ULTRA SHORT DURATION FUND - DIRECT Plan - DAILY IDCW OPTION,1114.15,
NIPPON INDIA ULTRA SHORT DURATION FUND - DIRECT Plan - MONTHLY IDCW Option,1024.285,
NIPPON INDIA ULTRA SHORT DURATION FUND - DIRECT Plan - QUARTERLY IDCW Option,1017.2499,
NIPPON INDIA ULTRA SHORT DURATION FUND - DIRECT Plan - WEEKLY IDCW OPTION,1091.69,
NIPPON INDIA ULTRA SHORT DURATION FUND - MONTHLY IDCW Option,1014.9739,
NIPPON INDIA ULTRA SHORT DURATION FUND - QUARTERLY IDCW Option,1010.9144,
NIPPON INDIA ULTRA SHORT DURATION FUND - SEGREGATED PORTFOLIO 1 - DAILY IDCW Option,0,
NIPPON INDIA ULTRA SHORT DURATION FUND - SEGREGATED PORTFOLIO 1 - DIRECT Plan - DAILY IDCW Option,0,
Nippon India Ultra Short Duration Fund - Segregated Portfolio 1 - Direct Plan - Growth Option,0,
NIPPON INDIA ULTRA SHORT DURATION FUND - SEGREGATED PORTFOLIO 1 - DIRECT Plan - MONTHLY IDCW Option,0,
NIPPON INDIA ULTRA SHORT DURATION FUND - SEGREGATED PORTFOLIO 1 - DIRECT Plan - QUARTERLY IDCW Option,0,
NIPPON INDIA ULTRA SHORT DURATION FUND - SEGREGATED PORTFOLIO 1 - DIRECT Plan - WEEKLY IDCW Option,0,
Nippon India Ultra Short Duration Fund - Segregated Portfolio 1 - Growth Option,0,
NIPPON INDIA ULTRA SHORT DURATION FUND - SEGREGATED PORTFOLIO 1 - MONTHLY IDCW Option,0,
NIPPON INDIA ULTRA SHORT DURATION FUND - SEGREGATED PORTFOLIO 1 - QUARTERLY IDCW Option,0,
NIPPON INDIA ULTRA SHORT DURATION FUND - SEGREGATED PORTFOLIO 1 - WEEKLY IDCW Option,0,
NIPPON INDIA ULTRA SHORT DURATION FUND - WEEKLY IDCW OPTION,1091.69,
Nippon India Ultra Short Duration Fund- Direct Plan- Growth Option,3727.5892,
Nippon India Ultra Short Duration Fund- Growth Option,3438.8529,
,,
,,
,,
PGIM India Ultra Short Duration Fund - Daily Dividend,10.0203,
PGIM India Ultra Short Duration Fund - Direct Plan - Daily Dividend,10.0179,
PGIM India Ultra Short Duration Fund - Direct Plan - Growth,30.1499,
PGIM India Ultra Short Duration Fund - Direct Plan - Monthly Dividend,12.0049,
PGIM India Ultra Short Duration Fund - Direct Plan - Weekly Dividend,10.2789,
PGIM India Ultra Short Duration Fund - Growth,29.2659,
PGIM India Ultra Short Duration Fund - Monthly Dividend,12.639,
PGIM India Ultra Short Duration Fund - Regular Plan - Daily Dividend,10.0215,
PGIM India Ultra Short Duration Fund - Regular Plan - Growth,34.2452,
PGIM India Ultra Short Duration Fund - Regular Plan - Monthly Dividend,10.5275,
PGIM India Ultra Short Duration Fund - Regular Plan - Weekly Dividend,10.5017,
PGIM India Ultra Short Duration Fund - Weekly Dividend,10.09,
PGIM India Ultra Short Term Fund - Annual Bonus,20.9045,
PGIM India Ultra Short Term Fund - Annual Dividend,10.7885,
PGIM India Ultra Short Term Fund - Bonus,16.1171,
PGIM India Ultra Short Term Fund - Direct Plan - Annual Bonus,15.3662,
PGIM India Ultra Short Term Fund - Direct Plan - Annual Dividend,11.11,
PGIM India Ultra Short Term Fund - Direct Plan - Bonus,18.2209,
PGIM India Ultra Short Term Fund - Direct Plan - Dividend,15.25,
PGIM India Ultra Short Term Fund - Direct Plan - Monthly Bonus,12.7173,
PGIM India Ultra Short Term Fund - Direct Plan - Quarterly Dividend,11.2976,
PGIM India Ultra Short Term Fund - Dividend,16.077,
PGIM India Ultra Short Term Fund - Monthly Bonus,13.9637,
PGIM India Ultra Short Term Fund - Quarterly Dividend,11.5762,
PGIM India Ultra Short Term Fund - Regular Plan - Bonus,16.6686,
,,
,,
,,
SBI Magnum Ultra Short Duration Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1921.9086,
SBI MAGNUM ULTRA SHORT DURATION FUND - DIRECT PLAN - GROWTH,5139.8195,
SBI Magnum Ultra Short Duration Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1237.1095,
SBI Magnum Ultra Short Duration Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1911.7482,
SBI MAGNUM ULTRA SHORT DURATION FUND - REGULAR PLAN - GROWTH,5076.6883,
SBI Magnum Ultra Short Duration Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1230.432,
,,
,,
,,
Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund) Direct Plan Fortnightly IDCW,1061.8788,
Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund) Direct Plan IDCW Daily,1006.1763,
Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund) Direct Plan Quarterly IDCW,1097.4749,
Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund)- Direct Plan - Income Distribution CUM Capital Withdrawal Option - Monthly,1066.0457,
Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund)- Direct Plan -Growth Option,2470.1128,
Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund)- Direct Plan IDCW Weekly,1020.1955,
Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund)-Daily Income Distribution CUM Capital Withdrawal Option,1005.43,
Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund)-Growth Option,2328.7198,
Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund)-Monthly Income Distribution CUM Capital Withdrawal Option,1064.6198,
Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund)-Weekly Income Distribution CUM Capital Withdrawal Option,1020.5701,
Sundaram Ultra Short Duration Fund (Formerly Known as Prinicpal Ultra Short Term Fund) Regular Plan Fortnightly IDCW,1061.4423,
Sundaram Ultra Short Duration Fund (Formerly Known as Prinicpal Ultra Short Term Fund) Regular Plan Quarterly IDCW,1080.5533,
,,
,,
,,
TATA Ultra Short Term Fund Direct Plan - Monthly Reinvestment of Income Distribution cum capital withdrawal option  ,12.6087,
TATA Ultra Short Term Fund Direct Plan - Weekly Reinvestment of Income Distribution cum capital withdrawal option   ,10.4065,
TATA Ultra Short Term Fund Regular Plan - Monthly Reinvestment of Income Distribution cum capital withdrawal option  ,12.1567,
TATA Ultra Short Term Fund Regular Plan -Weekly Reinvestment of Income Distribution cum capital withdrawal option  ,10.3796,
TATA Ultra Short Term Fund-Direct Plan - Monthly Payout of Income Distribution cum capital withdrawal option ,12.6087,
TATA Ultra Short Term Fund-Direct Plan - Weekly Payout of Income Distribution cum capital withdrawal option ,10.4065,
Tata Ultra Short Term Fund-Direct Plan-Growth,12.5308,
TATA Ultra Short Term Fund-Regular Plan - Monthly Payout of Income Distribution cum capital withdrawal option ,12.1567,
TATA Ultra Short Term Fund-Regular Plan - Weekly Payout of Income Distribution cum capital withdrawal option ,10.3796,
Tata Ultra Short Term Fund-Regular Plan-Growth,12.1537,
,,
,,
,,
UTI - Ultra Short Term Fund - Direct Plan - Growth Option,3833.1483,
UTI - Ultra Short Term Fund - Discontinued - INSTN GROWTH OPTION,2585.9444,
UTI - Ultra Short Term Fund - Discontinued - INSTN PLAN - PERIODIC DIVIDEND OPTION,1003.5556,
UTI - Ultra Short Term Fund - Regular Plan - Growth Option,3619.5794,
UTI Ultra Short Term Fund - Direct Plan - Annual IDCW,1205.6982,
UTI Ultra Short Term Fund - Direct Plan - Daily IDCW (Reinvestment),1275.2246,
UTI Ultra Short Term Fund - Direct Plan - Flexi IDCW,1859.7493,
UTI Ultra Short Term Fund - Direct Plan - Fortnightly IDCW,1325.388,
UTI Ultra Short Term Fund - Direct Plan - Half-Yearly IDCW,1215.3611,
UTI Ultra Short Term Fund - Direct Plan - Monthly IDCW,1101.0332,
UTI Ultra Short Term Fund - Direct Plan - Quarterly IDCW,1591.5676,
UTI Ultra Short Term Fund - Direct Plan - Weekly IDCW (Reinvestment),1083.4622,
UTI Ultra Short Term Fund - Regular Plan - Annual IDCW,1184.4562,
UTI Ultra Short Term Fund - Regular Plan - Daily IDCW (Reinvestment),1046.1477,
UTI Ultra Short Term Fund - Regular Plan - Flexi IDCW,1397.2796,
UTI Ultra Short Term Fund - Regular Plan - Fortnightly IDCW,1321.1579,
UTI Ultra Short Term Fund - Regular Plan - Half-Yearly IDCW,1168.574,
UTI Ultra Short Term Fund - Regular Plan - Monthly IDCW,1023.839,
UTI Ultra Short Term Fund - Regular Plan - Quarterly IDCW,1149.9251,
UTI Ultra Short Term Fund - Regular Plan - Weekly IDCW (Reinvestment),1159.2888,
,,
,,
,,
WhiteOak Capital Ultra Short Term Fund- Direct plan-Daily Reinvestment of Income Distribution cum capital withdrawal option (IDCW),1001.4699,
WhiteOak Capital Ultra Short Term Fund- Direct plan-Fortnightly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW),1001.8224,
WhiteOak Capital Ultra Short Term Fund- Direct plan-Growth Option,1196.6131,
WhiteOak Capital Ultra Short Term Fund- Direct plan-Monthly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW),1001.6415,
WhiteOak Capital Ultra Short Term Fund- Direct plan-Weekly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW),1002.4395,
WhiteOak Capital Ultra Short Term Fund- Regular plan-Daily Reinvestment of Income Distribution cum capital withdrawal option (IDCW),1001.4596,
WhiteOak Capital Ultra Short Term Fund- Regular plan-Fortnightly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW),1001.7017,
WhiteOak Capital Ultra Short Term Fund- Regular plan-Growth Option,1171.1098,
WhiteOak Capital Ultra Short Term Fund- Regular plan-Monthly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW),1001.5712,
WhiteOak Capital Ultra Short Term Fund- Regular plan-Weekly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW),1001.8535,
,,
,,
,,
,,
,,
Invesco India Contra Fund - Direct Plan - Growth,86.04,
Invesco India Contra Fund - Direct Plan - IDCW (Payout / Reinvestment),40.11,
Invesco India Contra Fund - Growth,75.38,
Invesco India Contra Fund - IDCW (Payout / Reinvestment),30.77,
,,
,,
,,
Kotak India EQ Contra Fund - Growth,85.496,
Kotak India EQ Contra Fund - Growth - Direct,97.752,
Kotak India EQ Contra Fund - Payout of Income Distribution cum capital withdrawal option,29.47,
Kotak India EQ Contra Fund - Payout of Income Distribution cum capital withdrawal option- Direct,34.785,
,,
,,
,,
SBI CONTRA FUND - DIRECT PLAN - GROWTH,240.9662,
SBI Contra Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),50.8544,
SBI Contra Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),39.0991,
SBI CONTRA FUND - REGULAR PLAN -GROWTH,225.4798,
,,
,,
,,
,,
,,
Aditya Birla Sun Life Dividend Yield Fund - Growth - Direct Plan,286.36,
Aditya Birla Sun Life Dividend Yield Fund - Growth - Regular Plan,265.58,
Aditya Birla Sun Life Dividend Yield Fund -DIRECT - IDCW,33.44,
Aditya Birla Sun Life Dividend Yield Fund -REGULAR - IDCW,18.78,
,,
,,
,,
Templeton India Equity Income Fund - Direct - Growth,94.1946,
Templeton India EQUITY INCOME FUND - Direct - IDCW ,22.3992,
Templeton India EQUITY INCOME FUND - IDCW ,20.2749,
Templeton India Equity Income Fund-Growth Plan,87.7918,
,,
,,
,,
HDFC Dividend Yield Fund - Growth Option Direct Plan,15.591,
HDFC Dividend Yield Fund - Growth Plan,15.03,
HDFC Dividend Yield Fund - IDCW Option Direct Plan,14.541,
